file_path,ll_path,cve_id,vuln_type,source
snippet4\non-vulnerable\.rs\macros.rs,snippet4\non-vulnerable\.ll\macros.ll,GHSA-25mx-8f3v-8wh7,unspecified,https://crates.io/crates/sequoia-openpgp
snippet4\non-vulnerable\.rs\bitfield.rs,snippet4\non-vulnerable\.ll\bitfield.ll,GHSA-25mx-8f3v-8wh7,unspecified,https://crates.io/crates/sequoia-openpgp
snippet4\vulnerable\.rs\export_v.rs,snippet4\vulnerable\.ll\export_v.ll,GHSA-27vq-hv74-7cqp,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\tls_v.rs,snippet4\vulnerable\.ll\tls_v.ll,GHSA-27vq-hv74-7cqp,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\mod_v.rs,snippet4\vulnerable\.ll\mod_v.ll,GHSA-27vq-hv74-7cqp,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\export.rs,snippet4\non-vulnerable\.ll\export.ll,GHSA-27vq-hv74-7cqp,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\tls.rs,snippet4\non-vulnerable\.ll\tls.ll,GHSA-27vq-hv74-7cqp,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\mod.rs,snippet4\non-vulnerable\.ll\mod.ll,GHSA-27vq-hv74-7cqp,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\file_error_v.rs,snippet4\vulnerable\.ll\file_error_v.ll,GHSA-29mf-62xx-28jq,unspecified,https://crates.io/crates/buffered-reader
snippet4\vulnerable\.rs\macros_v.rs,snippet4\vulnerable\.ll\macros_v.ll,GHSA-29mf-62xx-28jq,unspecified,https://crates.io/crates/buffered-reader
snippet4\non-vulnerable\.rs\file_error.rs,snippet4\non-vulnerable\.ll\file_error.ll,GHSA-29mf-62xx-28jq,unspecified,https://crates.io/crates/buffered-reader
snippet4\vulnerable\.rs\export_v.rs,snippet4\vulnerable\.ll\export_v.ll,GHSA-2cvj-g5r5-jrrg,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\tls_v.rs,snippet4\vulnerable\.ll\tls_v.ll,GHSA-2cvj-g5r5-jrrg,unspecified,https://crates.io/crates/surrealdb
snippet4\vulnerable\.rs\mod_v.rs,snippet4\vulnerable\.ll\mod_v.ll,GHSA-2cvj-g5r5-jrrg,unspecified,https://crates.io/crates/surrealdb
snippet4\non-vulnerable\.rs\export.rs,snippet4\non-vulnerable\.ll\export.ll,GHSA-2cvj-g5r5-jrrg,unspecified,https://crates.io/crates/surrealdb
